0,951.3,21.3
1,947.8,140.2
2,823.8,156.3
3,698.5,223.0
4,643.3,319.2
5,624.2,378.2
6,556.4,467.1
7,531.9,529.6
8,550.9,578.3
9,597.3,615.4
10,640.4,636.5
11,707.3,666.2
12,745.2,731.1
13,784.7,770.5
14,846.1,788.9
15,925.0,796.6
16,956.4,774.6
17,958.5,611.2
18,989.0,799.4
19,1034.1,791.0
20,1087.4,785.6
21,1150.1,756.9
22,1190.0,706.9
23,1207.6,665.8
24,1316.0,597.9
25,1346.8,518.4
26,1291.9,386.7
27,1211.6,231.0
28,1141.5,175.3
29,1013.0,146.9
30,953.3,1072.2
31,954.2,835.9
32,953.1,899.5
33,775.9,954.0
34,711.7,976.9
35,605.0,974.1
36,560.6,966.4
37,510.3,979.4
38,412.9,918.8
39,377.6,858.6
40,319.6,807.7
41,267.6,711.3
42,264.3,571.1
43,275.0,533.5
44,312.5,518.7
45,356.2,449.5
46,442.4,414.1
47,480.6,378.9
48,1503.3,520.0
49,1648.8,530.9
50,1652.2,685.6
51,1618.5,755.3
52,1575.7,794.6
53,1562.5,865.3
54,1511.5,946.7
55,1452.3,973.1
56,1356.6,959.8
57,1348.4,916.5
58,1233.9,975.7
59,1143.3,976.2
60,1386.3,847.5
61,1382.4,770.8
62,1285.3,786.4
63,1031.7,946.1
64,253.0,654.8
65,560.5,774.7
66,224.4,440.1
67,952.6,1009.0
68,1377.1,612.6
69,1405.4,660.1
70,1397.1,718.1
